Date,Tm,Opp,Result,MP,FG_T,FGA_T,FG%_T,2P_T,2PA_T,2P%_T,3P_T,3PA_T,3P%_T,FT_T,FTA_T,FT%_T,PTS_T,FG_O,FGA_O,FG%_O,2P_O,2PA_O,2P%_O,3P_O,3PA_O,3P%_O,FT_O,FTA_O,FT%_O,PTS_O
2019-11-08,NOP,TOR,L 104-122,240,40,99,.404,30,58,.517,10,41,.244,14,21,.667,104,41,93,.441,22,50,.440,19,43,.442,21,24,.875,122
2019-11-10,LAL,TOR,L 104-113,240,41,94,.436,31,64,.484,10,30,.333,12,19,.632,104,43,89,.483,31,53,.585,12,36,.333,15,22,.682,113
2019-11-19,POR,NOP,L 104-115,240,40,92,.435,24,63,.381,16,29,.552,8,13,.615,104,41,93,.441,28,57,.491,13,36,.361,20,24,.833,115
2019-11-20,BOS,LAC,L 104-107 (OT),265,41,104,.394,29,59,.492,12,45,.267,10,14,.714,104,39,93,.419,22,48,.458,17,45,.378,12,16,.750,107
2019-11-20,NYK,PHI,L 104-109,240,40,84,.476,27,59,.458,13,25,.520,11,15,.733,104,39,89,.438,26,57,.456,13,32,.406,18,26,.692,109
2019-11-22,SAS,PHI,L 104-115,240,43,85,.506,37,67,.552,6,18,.333,12,16,.750,104,46,89,.517,36,63,.571,10,26,.385,13,19,.684,115
2019-11-23,POR,CLE,L 104-110,240,39,87,.448,25,47,.532,14,40,.350,12,16,.750,104,37,87,.425,27,56,.482,10,31,.323,26,32,.813,110
2019-11-23,MIL,DET,W 104-90,240,41,84,.488,28,47,.596,13,37,.351,9,18,.500,104,37,91,.407,27,56,.482,10,35,.286,6,10,.600,90
2019-11-23,NYK,SAS,L 104-111,240,40,93,.430,25,53,.472,15,40,.375,9,15,.600,104,40,75,.533,28,52,.538,12,23,.522,19,28,.679,111
2019-11-24,PHO,DEN,L 104-116,240,41,82,.500,29,47,.617,12,35,.343,10,12,.833,104,43,91,.473,29,60,.483,14,31,.452,16,23,.696,116
2019-11-25,SAS,LAL,L 104-114,240,41,88,.466,31,63,.492,10,25,.400,12,15,.800,104,44,89,.494,30,56,.536,14,33,.424,12,18,.667,114
2019-11-26,WAS,DEN,L 104-117,240,40,95,.421,30,55,.545,10,40,.250,14,21,.667,104,47,90,.522,41,66,.621,6,24,.250,17,23,.739,117
2019-11-27,CLE,ORL,L 104-116,240,37,81,.457,26,47,.553,11,34,.324,19,22,.864,104,45,93,.484,33,60,.550,12,33,.364,14,17,.824,116
2019-11-27,GSW,CHI,W 104-90,240,37,81,.457,26,52,.500,11,29,.379,19,26,.731,104,34,89,.382,24,60,.400,10,29,.345,12,18,.667,90
2019-11-29,ATL,IND,L 104-105 (OT),265,39,90,.433,30,58,.517,9,32,.281,17,18,.944,104,39,92,.424,33,66,.500,6,26,.231,21,28,.750,105
2019-11-29,NOP,OKC,L 104-109,240,39,87,.448,28,49,.571,11,38,.289,15,21,.714,104,43,90,.478,30,56,.536,13,34,.382,10,16,.625,109
2019-12-01,NOP,OKC,L 104-107,240,39,87,.448,22,49,.449,17,38,.447,9,10,.900,104,38,81,.469,27,48,.563,11,33,.333,20,26,.769,107
2019-12-01,NYK,BOS,L 104-113,240,35,76,.461,27,50,.540,8,26,.308,26,37,.703,104,41,93,.441,26,52,.500,15,41,.366,16,22,.727,113
2019-12-02,ATL,GSW,W 104-79,240,41,89,.461,33,60,.550,8,29,.276,14,15,.933,104,33,83,.398,30,66,.455,3,17,.176,10,12,.833,79
2019-12-02,CHO,PHO,L 104-109,240,38,84,.452,31,59,.525,7,25,.280,21,26,.808,104,39,88,.443,30,46,.652,9,42,.214,22,30,.733,109
2019-12-02,MEM,IND,L 104-117,240,38,89,.427,28,51,.549,10,38,.263,18,19,.947,104,44,88,.500,28,50,.560,16,38,.421,13,15,.867,117
2019-12-06,CHO,BRK,L 104-111,240,36,83,.434,19,43,.442,17,40,.425,15,17,.882,104,42,88,.477,27,50,.540,15,38,.395,12,15,.800,111
2019-12-06,SAC,SAS,L 104-105 (OT),265,40,102,.392,31,68,.456,9,34,.265,15,18,.833,104,41,96,.427,30,64,.469,11,32,.344,12,17,.706,105
2019-12-07,IND,NYK,W 104-103,240,41,85,.482,29,57,.509,12,28,.429,10,13,.769,104,39,96,.406,29,65,.446,10,31,.323,15,21,.714,103
2019-12-08,TOR,PHI,L 104-110,240,38,88,.432,27,55,.491,11,33,.333,17,20,.850,104,40,79,.506,26,47,.553,14,32,.438,16,21,.762,110
2019-12-09,OKC,UTA,W 104-90,240,40,85,.471,32,57,.561,8,28,.286,16,19,.842,104,36,89,.404,28,58,.483,8,31,.258,10,12,.833,90
2019-12-18,ORL,DEN,L 104-113,240,37,87,.425,26,58,.448,11,29,.379,19,21,.905,104,40,84,.476,29,57,.509,11,27,.407,22,25,.880,113
2019-12-18,PHI,MIA,L 104-108,240,38,90,.422,26,51,.510,12,39,.308,16,18,.889,104,40,85,.471,28,54,.519,12,31,.387,16,20,.800,108
2019-12-19,LAL,MIL,L 104-111,240,37,80,.463,25,45,.556,12,35,.343,18,23,.783,104,36,77,.468,20,38,.526,16,39,.410,23,32,.719,111
2019-12-22,LAL,DEN,L 104-128,240,39,83,.470,29,54,.537,10,29,.345,16,22,.727,104,45,92,.489,34,60,.567,11,32,.344,27,30,.900,128
2019-12-23,MIN,GSW,L 104-113,240,35,87,.402,24,53,.453,11,34,.324,23,29,.793,104,38,87,.437,26,57,.456,12,30,.400,25,30,.833,113
2019-12-23,UTA,MIA,L 104-107,240,39,90,.433,27,54,.500,12,36,.333,14,18,.778,104,37,90,.411,28,65,.431,9,25,.360,24,27,.889,107
2019-12-23,SAC,HOU,L 104-113,240,41,87,.471,34,57,.596,7,30,.233,15,23,.652,104,39,87,.448,24,48,.500,15,39,.385,20,23,.870,113
2019-12-25,HOU,GSW,L 104-116,240,37,100,.370,21,49,.429,16,51,.314,14,16,.875,104,41,87,.471,32,59,.542,9,28,.321,25,28,.893,116
2019-12-26,SAC,MIN,L 104-105 (2OT),290,37,107,.346,28,68,.412,9,39,.231,21,25,.840,104,36,104,.346,26,58,.448,10,46,.217,23,29,.793,105
2019-12-27,OKC,CHO,W 104-102 (OT),265,40,89,.449,35,58,.603,5,31,.161,19,31,.613,104,42,101,.416,35,62,.565,7,39,.179,11,18,.611,102
2019-12-29,CHO,MEM,L 104-117,240,37,86,.430,28,55,.509,9,31,.290,21,32,.656,104,45,93,.484,35,58,.603,10,35,.286,17,17,1.000,117
2019-12-30,UTA,DET,W 104-81,240,39,83,.470,29,57,.509,10,26,.385,16,20,.800,104,30,79,.380,26,65,.400,4,14,.286,17,23,.739,81
2019-12-31,DEN,HOU,L 104-130,240,45,97,.464,37,72,.514,8,25,.320,6,9,.667,104,46,87,.529,30,53,.566,16,34,.471,22,31,.710,130
2020-01-01,MIN,MIL,L 104-106,240,34,91,.374,19,45,.422,15,46,.326,21,28,.750,104,40,94,.426,31,58,.534,9,36,.250,17,26,.654,106
2020-01-04,CHI,BOS,L 104-111,240,34,80,.425,21,46,.457,13,34,.382,23,31,.742,104,43,82,.524,35,63,.556,8,19,.421,17,21,.810,111
2020-01-04,GSW,DET,L 104-111,240,33,82,.402,22,61,.361,11,21,.524,27,32,.844,104,43,83,.518,32,56,.571,11,27,.407,14,16,.875,111
2020-01-06,CHO,IND,L 104-115,240,37,81,.457,27,51,.529,10,30,.333,20,22,.909,104,47,89,.528,37,63,.587,10,26,.385,11,14,.786,115
2020-01-06,MIL,SAS,L 104-126,240,38,95,.400,23,50,.460,15,45,.333,13,14,.929,104,45,88,.511,26,53,.491,19,35,.543,17,19,.895,126
2020-01-08,NYK,UTA,L 104-128,240,42,97,.433,33,72,.458,9,25,.360,11,11,1.000,104,49,90,.544,33,47,.702,16,43,.372,14,23,.609,128
2020-01-12,LAC,DEN,L 104-114,240,38,84,.452,30,51,.588,8,33,.242,20,26,.769,104,37,77,.481,26,52,.500,11,25,.440,29,37,.784,114
2020-01-12,TOR,SAS,L 104-105,240,39,96,.406,22,48,.458,17,48,.354,9,11,.818,104,38,87,.437,31,55,.564,7,32,.219,22,30,.733,105
2020-01-13,MIN,OKC,L 104-117,240,38,91,.418,26,56,.464,12,35,.343,16,21,.762,104,41,82,.500,29,52,.558,12,30,.400,23,26,.885,117
2020-01-15,IND,MIN,W 104-99,240,44,85,.518,37,62,.597,7,23,.304,9,12,.750,104,38,88,.432,27,60,.450,11,28,.393,12,16,.750,99
2019-10-26,ATL,ORL,W 103-99,240,43,84,.512,34,54,.630,9,30,.300,8,15,.533,103,35,99,.354,30,68,.441,5,31,.161,24,26,.923,99
2019-10-28,ATL,PHI,L 103-105,240,36,84,.429,27,57,.474,9,27,.333,22,32,.688,103,37,88,.420,26,47,.553,11,41,.268,20,25,.800,105
2019-10-31,LAC,SAS,W 103-97,240,39,91,.429,34,65,.523,5,26,.192,20,27,.741,103,36,80,.450,29,59,.492,7,21,.333,18,27,.667,97
2019-11-03,LAL,SAS,W 103-96,240,42,87,.483,36,63,.571,6,24,.250,13,19,.684,103,33,83,.398,27,58,.466,6,25,.240,24,29,.828,96
2019-11-08,UTA,MIL,W 103-100,240,34,84,.405,19,48,.396,15,36,.417,20,29,.690,103,34,95,.358,24,59,.407,10,36,.278,22,30,.733,100
Date,Tm,Opp,Result,MP,FG_T,FGA_T,FG%_T,2P_T,2PA_T,2P%_T,3P_T,3PA_T,3P%_T,FT_T,FTA_T,FT%_T,PTS_T,FG_O,FGA_O,FG%_O,2P_O,2PA_O,2P%_O,3P_O,3PA_O,3P%_O,FT_O,FTA_O,FT%_O,PTS_O
2019-11-14,DAL,NYK,L 103-106,240,36,84,.429,28,48,.583,8,36,.222,23,31,.742,103,42,94,.447,29,64,.453,13,30,.433,9,11,.818,106
2019-11-16,CHO,NYK,W 103-102,240,36,87,.414,19,39,.487,17,48,.354,14,19,.737,103,39,86,.453,33,66,.500,6,20,.300,18,23,.783,102
