Date,Tm,Opp,Result,MP,FG_T,FGA_T,FG%_T,2P_T,2PA_T,2P%_T,3P_T,3PA_T,3P%_T,FT_T,FTA_T,FT%_T,PTS_T,FG_O,FGA_O,FG%_O,2P_O,2PA_O,2P%_O,3P_O,3PA_O,3P%_O,FT_O,FTA_O,FT%_O,PTS_O
2019-11-16,TOR,DAL,L 102-110,240,37,89,.416,20,48,.417,17,41,.415,11,15,.733,102,37,88,.420,28,49,.571,9,39,.231,27,33,.818,110
2019-11-16,MIL,IND,W 102-83,240,43,96,.448,32,57,.561,11,39,.282,5,7,.714,102,32,100,.320,20,66,.303,12,34,.353,7,9,.778,83
2019-11-16,NYK,CHO,L 102-103,240,39,86,.453,33,66,.500,6,20,.300,18,23,.783,102,36,87,.414,19,39,.487,17,48,.354,14,19,.737,103
2019-11-18,UTA,MIN,L 102-112,240,35,96,.365,23,65,.354,12,31,.387,20,26,.769,102,41,89,.461,27,51,.529,14,38,.368,16,19,.842,112
2019-11-25,SAC,BOS,L 102-103,240,37,79,.468,19,32,.594,18,47,.383,10,15,.667,102,38,85,.447,31,55,.564,7,30,.233,20,23,.870,103
2019-11-27,CHO,DET,W 102-101,240,39,88,.443,32,58,.552,7,30,.233,17,20,.850,102,41,88,.466,31,56,.554,10,32,.313,9,15,.600,101
2019-11-27,UTA,IND,L 102-121,240,36,83,.434,26,51,.510,10,32,.313,20,25,.800,102,50,96,.521,42,74,.568,8,22,.364,13,16,.813,121
2019-11-27,ATL,MIL,L 102-111,240,38,94,.404,27,60,.450,11,34,.324,15,22,.682,102,42,88,.477,32,54,.593,10,34,.294,17,27,.630,111
2019-12-08,DEN,BRK,L 102-105,240,36,89,.404,18,47,.383,18,42,.429,12,14,.857,102,40,87,.460,33,59,.559,7,28,.250,18,23,.783,105
2019-12-09,GSW,MEM,L 102-110,240,35,93,.376,24,66,.364,11,27,.407,21,25,.840,102,41,82,.500,26,42,.619,15,40,.375,13,17,.765,110
2019-12-11,ATL,CHI,L 102-136,240,35,83,.422,22,45,.489,13,38,.342,19,26,.731,102,54,94,.574,43,70,.614,11,24,.458,17,19,.895,136
2019-12-14,OKC,DEN,L 102-110,240,38,81,.469,32,58,.552,6,23,.261,20,23,.870,102,43,85,.506,36,58,.621,7,27,.259,17,23,.739,110
2019-12-14,BRK,TOR,L 102-110,240,39,101,.386,27,55,.491,12,46,.261,12,17,.706,102,38,98,.388,24,58,.414,14,40,.350,20,25,.800,110
2019-12-17,SAC,CHO,L 102-110,240,38,91,.418,24,52,.462,14,39,.359,12,13,.923,102,39,81,.481,26,51,.510,13,30,.433,19,27,.704,110
2019-12-17,LAL,IND,L 102-105,240,43,91,.473,35,60,.583,8,31,.258,8,17,.471,102,41,85,.482,31,60,.517,10,25,.400,13,20,.650,105
2019-12-17,ORL,UTA,L 102-109,240,42,93,.452,35,58,.603,7,35,.200,11,15,.733,102,42,90,.467,27,54,.500,15,36,.417,10,16,.625,109
2019-12-20,NOP,GSW,L 102-106,240,39,93,.419,30,59,.508,9,34,.265,15,23,.652,102,36,83,.434,26,50,.520,10,33,.303,24,25,.960,106
2019-12-21,NYK,MIL,L 102-123,240,39,97,.402,30,67,.448,9,30,.300,15,21,.714,102,41,85,.482,23,42,.548,18,43,.419,23,35,.657,123
2019-12-23,NOP,POR,W 102-94,240,38,93,.409,23,58,.397,15,35,.429,11,16,.688,102,37,91,.407,33,62,.532,4,29,.138,16,18,.889,94
2019-12-25,TOR,BOS,L 102-118,240,38,80,.475,30,57,.526,8,23,.348,18,22,.818,102,46,92,.500,32,59,.542,14,33,.424,12,14,.857,118
2019-12-26,DAL,SAS,W 102-98,240,38,90,.422,22,50,.440,16,40,.400,10,15,.667,102,40,83,.482,32,54,.593,8,29,.276,10,15,.667,98
2019-12-26,WAS,DET,L 102-132,240,38,92,.413,31,68,.456,7,24,.292,19,27,.704,102,46,86,.535,27,38,.711,19,48,.396,21,26,.808,132
2019-12-27,CHO,OKC,L 102-104 (OT),265,42,101,.416,35,62,.565,7,39,.179,11,18,.611,102,40,89,.449,35,58,.603,5,31,.161,19,31,.613,104
2019-12-30,CHI,MIL,L 102-123,240,40,107,.374,23,63,.365,17,44,.386,5,8,.625,102,46,84,.548,35,52,.673,11,32,.344,20,24,.833,123
2020-01-02,UTA,CHI,W 102-98,240,37,76,.487,26,46,.565,11,30,.367,17,22,.773,102,37,94,.394,26,58,.448,11,36,.306,13,17,.765,98
2020-01-04,BRK,TOR,L 102-121,240,32,67,.478,19,32,.594,13,35,.371,25,34,.735,102,44,97,.454,31,65,.477,13,32,.406,20,28,.714,121
2020-01-09,POR,MIN,L 102-116,240,35,96,.365,24,59,.407,11,37,.297,21,31,.677,102,44,89,.494,31,57,.544,13,32,.406,15,21,.714,116
2020-01-12,GSW,MEM,L 102-122,240,35,92,.380,18,58,.310,17,34,.500,15,21,.714,102,45,100,.450,34,65,.523,11,35,.314,21,25,.840,122
2020-01-14,NYK,MIL,L 102-128,240,36,102,.353,25,65,.385,11,37,.297,19,26,.731,102,45,92,.489,30,56,.536,15,36,.417,23,28,.821,128
2019-10-23,MEM,MIA,L 101-120,240,38,89,.427,33,57,.579,5,32,.156,20,30,.667,101,40,85,.471,33,67,.493,7,18,.389,33,39,.846,120
2019-10-27,CHO,LAL,L 101-120,240,35,91,.385,25,56,.446,10,35,.286,21,23,.913,101,49,93,.527,38,62,.613,11,31,.355,11,14,.786,120
2019-10-28,DEN,SAC,W 101-94,240,36,98,.367,26,62,.419,10,36,.278,19,21,.905,101,36,91,.396,24,54,.444,12,37,.324,10,16,.625,94
2019-11-01,UTA,SAC,L 101-102,240,35,73,.479,24,45,.533,11,28,.393,20,27,.741,101,41,84,.488,33,55,.600,8,29,.276,12,17,.706,102
2019-11-07,POR,LAC,L 101-107,240,39,104,.375,28,65,.431,11,39,.282,12,16,.750,101,39,89,.438,35,66,.530,4,23,.174,25,30,.833,107
2019-11-14,DEN,BRK,W 101-93,240,43,101,.426,33,68,.485,10,33,.303,5,10,.500,101,36,95,.379,28,57,.491,8,38,.211,13,16,.813,93
2019-11-16,ATL,LAC,L 101-150,240,34,90,.378,28,66,.424,6,24,.250,27,37,.730,101,50,93,.538,33,60,.550,17,33,.515,33,35,.943,150
2019-11-17,ATL,LAL,L 101-122,240,37,86,.430,29,58,.500,8,28,.286,19,25,.760,101,47,89,.528,32,54,.593,15,35,.429,13,16,.813,122
2019-11-18,CHI,MIL,L 101-115,240,39,97,.402,27,63,.429,12,34,.353,11,14,.786,101,38,82,.463,23,41,.561,15,41,.366,24,35,.686,115
2019-11-20,BRK,CHO,W 101-91,240,36,90,.400,26,51,.510,10,39,.256,19,23,.826,101,30,81,.370,19,48,.396,11,33,.333,20,26,.769,91
2019-11-22,CLE,DAL,L 101-143,240,37,86,.430,25,57,.439,12,29,.414,15,17,.882,101,58,100,.580,38,63,.603,20,37,.541,7,9,.778,143
2019-11-24,NYK,BRK,L 101-103,240,37,80,.463,19,45,.422,18,35,.514,9,16,.563,101,31,77,.403,17,39,.436,14,38,.368,27,34,.794,103
2019-11-25,TOR,PHI,W 101-96,240,38,84,.452,27,50,.540,11,34,.324,14,22,.636,101,36,88,.409,21,48,.438,15,40,.375,9,16,.563,96
2019-11-27,DET,CHO,L 101-102,240,41,88,.466,31,56,.554,10,32,.313,9,15,.600,101,39,88,.443,32,58,.552,7,30,.233,17,20,.850,102
2019-11-27,SAS,MIN,L 101-113,240,41,97,.423,36,68,.529,5,29,.172,14,17,.824,101,37,85,.435,19,45,.422,18,40,.450,21,27,.778,113
2019-11-29,PHI,NYK,W 101-95,240,31,72,.431,24,46,.522,7,26,.269,32,40,.800,101,34,78,.436,26,58,.448,8,20,.400,19,33,.576,95
2019-12-06,IND,DET,L 101-108,240,38,83,.458,29,59,.492,9,24,.375,16,20,.800,101,39,87,.448,28,62,.452,11,25,.440,19,26,.731,108
2019-12-09,ORL,MIL,L 101-110,240,35,92,.380,25,61,.410,10,31,.323,21,26,.808,101,43,92,.467,27,51,.529,16,41,.390,8,15,.533,110
2019-12-13,SAC,NYK,L 101-103,240,39,83,.470,22,44,.500,17,39,.436,6,8,.750,101,44,95,.463,35,65,.538,9,30,.300,6,10,.600,103
2019-12-15,LAL,ATL,W 101-96,240,36,84,.429,31,53,.585,5,31,.161,24,33,.727,101,31,86,.360,19,44,.432,12,42,.286,22,25,.880,96
2019-12-17,NOP,BRK,L 101-108 (OT),265,37,107,.346,26,67,.388,11,40,.275,16,24,.667,101,40,96,.417,29,57,.509,11,39,.282,17,23,.739,108
2019-12-30,ATL,ORL,W 101-93,240,39,81,.481,30,52,.577,9,29,.310,14,17,.824,101,37,89,.416,32,64,.500,5,25,.200,14,24,.583,93
2019-12-31,DAL,OKC,L 101-106,240,33,93,.355,18,42,.429,15,51,.294,20,27,.741,101,39,91,.429,33,64,.516,6,27,.222,22,28,.786,106
2020-01-01,WAS,ORL,L 101-122,240,33,87,.379,24,56,.429,9,31,.290,26,31,.839,101,45,95,.474,33,63,.524,12,32,.375,20,27,.741,122
2020-01-06,ORL,BRK,W 101-89,240,35,81,.432,27,55,.491,8,26,.308,23,31,.742,101,32,96,.333,22,49,.449,10,47,.213,15,19,.789,89
2020-01-07,POR,TOR,W 101-99,240,38,88,.432,25,53,.472,13,35,.371,12,14,.857,101,35,96,.365,20,54,.370,15,42,.357,14,19,.737,99
2020-01-10,ATL,WAS,L 101-111,240,41,89,.461,34,60,.567,7,29,.241,12,24,.500,101,42,112,.375,32,83,.386,10,29,.345,17,28,.607,111
2020-01-11,POR,MIL,L 101-122,240,37,95,.389,27,59,.458,10,36,.278,17,21,.810,101,47,103,.456,33,65,.508,14,38,.368,14,20,.700,122
2020-01-13,CHI,BOS,L 101-113,240,37,81,.457,31,56,.554,6,25,.240,21,26,.808,101,39,83,.470,30,60,.500,9,23,.391,26,29,.897,113
2020-01-13,IND,PHI,W 101-95,240,33,86,.384,23,60,.383,10,26,.385,25,31,.806,101,37,89,.416,31,56,.554,6,33,.182,15,19,.789,95
2019-10-23,WAS,DAL,L 100-108,240,37,93,.398,26,52,.500,11,41,.268,15,18,.833,100,35,76,.461,24,40,.600,11,36,.306,27,33,.818,108
Date,Tm,Opp,Result,MP,FG_T,FGA_T,FG%_T,2P_T,2PA_T,2P%_T,3P_T,3PA_T,3P%_T,FT_T,FTA_T,FT%_T,PTS_T,FG_O,FGA_O,FG%_O,2P_O,2PA_O,2P%_O,3P_O,3PA_O,3P%_O,FT_O,FTA_O,FT%_O,PTS_O
2019-10-23,POR,DEN,L 100-108,240,36,87,.414,29,59,.492,7,28,.250,21,23,.913,100,34,81,.420,16,49,.327,18,32,.563,22,27,.815,108
2019-10-23,UTA,OKC,W 100-95,240,40,90,.444,34,66,.515,6,24,.250,14,20,.700,100,32,83,.386,22,56,.393,10,27,.370,21,31,.677,95
2019-10-24,DET,ATL,L 100-117,240,35,85,.412,25,48,.521,10,37,.270,20,22,.909,100,44,86,.512,33,55,.600,11,31,.355,18,21,.857,117
2019-11-03,HOU,MIA,L 100-129,240,31,79,.392,17,31,.548,14,48,.292,24,31,.774,100,47,89,.528,29,48,.604,18,41,.439,17,22,.773,129
2019-11-04,MEM,HOU,L 100-107,240,40,94,.426,37,69,.536,3,25,.120,17,21,.810,100,35,93,.376,18,43,.419,17,50,.340,20,29,.690,107
2019-11-05,SAS,ATL,L 100-108,240,38,91,.418,30,58,.517,8,33,.242,16,23,.696,100,43,90,.478,32,60,.533,11,30,.367,11,16,.688,108
2019-11-08,DEN,PHI,W 100-97,240,39,87,.448,30,65,.462,9,22,.409,13,17,.765,100,38,86,.442,25,60,.417,13,26,.500,8,17,.471,97
2019-11-08,MIL,UTA,L 100-103,240,34,95,.358,24,59,.407,10,36,.278,22,30,.733,100,34,84,.405,19,48,.396,15,36,.417,20,29,.690,103
2019-11-08,WAS,CLE,L 100-113,240,45,96,.469,38,65,.585,7,31,.226,3,6,.500,100,41,90,.456,35,63,.556,6,27,.222,25,29,.862,113
2019-11-10,DEN,MIN,W 100-98 (OT),265,39,101,.386,28,73,.384,11,28,.393,11,17,.647,100,34,97,.351,28,52,.538,6,45,.133,24,33,.727,98
2019-11-15,GSW,BOS,L 100-105,240,34,82,.415,29,54,.537,5,28,.179,27,34,.794,100,37,91,.407,24,58,.414,13,33,.394,18,23,.783,105
2019-11-17,GSW,NOP,L 100-108,240,37,91,.407,30,66,.455,7,25,.280,19,23,.826,100,37,89,.416,19,43,.442,18,46,.391,16,20,.800,108
2019-11-17,SAC,BOS,W 100-99,240,38,89,.427,24,54,.444,14,35,.400,10,12,.833,100,34,82,.415,24,52,.462,10,30,.333,21,24,.875,99
2019-11-20,CLE,MIA,L 100-124,240,37,87,.425,25,49,.510,12,38,.316,14,16,.875,100,41,78,.526,22,41,.537,19,37,.514,23,31,.742,124
2019-11-23,PHO,MIN,W 100-98,240,33,96,.344,23,61,.377,10,35,.286,24,26,.923,100,38,91,.418,26,49,.531,12,42,.286,10,17,.588,98
2019-11-25,OKC,GSW,W 100-97,240,40,85,.471,29,53,.547,11,32,.344,9,11,.818,100,37,89,.416,28,69,.406,9,20,.450,14,16,.875,97
2019-11-25,CHO,MIA,L 100-117,240,36,87,.414,27,54,.500,9,33,.273,19,25,.760,100,40,77,.519,27,46,.587,13,31,.419,24,28,.857,117
2019-11-30,SAC,DEN,W 100-97 (OT),265,37,96,.385,29,63,.460,8,33,.242,18,21,.857,100,36,87,.414,25,55,.455,11,32,.344,14,21,.667,97
2019-12-01,LAL,DAL,L 100-114,240,40,87,.460,33,60,.550,7,27,.259,13,16,.813,100,42,97,.433,25,48,.521,17,49,.347,13,18,.722,114
2019-12-01,ORL,GSW,W 100-96,240,37,87,.425,26,54,.481,11,33,.333,15,22,.682,100,36,91,.396,30,68,.441,6,23,.261,18,23,.783,96
2019-12-04,OKC,IND,L 100-107,240,41,84,.488,32,58,.552,9,26,.346,9,10,.900,100,42,87,.483,33,63,.524,9,24,.375,14,17,.824,107
2019-12-06,GSW,CHI,W 100-98,240,38,71,.535,29,47,.617,9,24,.375,15,22,.682,100,39,88,.443,22,47,.468,17,41,.415,3,5,.600,98
2019-12-13,ATL,IND,L 100-110,240,39,94,.415,33,66,.500,6,28,.214,16,23,.696,100,46,92,.500,39,70,.557,7,22,.318,11,15,.733,110
2019-12-15,SAC,GSW,W 100-79,240,38,63,.603,28,41,.683,10,22,.455,14,16,.875,100,30,76,.395,24,51,.471,6,25,.240,13,18,.722,79
2019-12-18,CLE,CHO,W 100-98,240,40,74,.541,33,48,.688,7,26,.269,13,17,.765,100,37,91,.407,24,54,.444,13,37,.351,11,18,.611,98
2019-12-20,MIN,DEN,L 100-109,240,36,87,.414,26,45,.578,10,42,.238,18,27,.667,100,44,89,.494,34,61,.557,10,28,.357,11,12,.917,109
2019-12-25,DEN,NOP,L 100-112,240,37,92,.402,25,55,.455,12,37,.324,14,18,.778,100,41,90,.456,23,47,.489,18,43,.419,12,12,1.000,112
2019-12-28,ORL,MIL,L 100-111,240,35,87,.402,21,52,.404,14,35,.400,16,19,.842,100,43,84,.512,30,47,.638,13,37,.351,12,18,.667,111
2019-12-28,WAS,NYK,L 100-107,240,33,96,.344,23,71,.324,10,25,.400,24,31,.774,100,38,85,.447,27,54,.500,11,31,.355,20,26,.769,107
2020-01-10,GSW,LAC,L 100-109,240,37,96,.385,29,57,.509,8,39,.205,18,25,.720,100,41,84,.488,30,45,.667,11,39,.282,16,22,.727,109
2020-01-12,PHO,CHO,W 100-92,240,41,82,.500,34,61,.557,7,21,.333,11,18,.611,100,36,86,.419,28,51,.549,8,35,.229,12,18,.667,92
2020-01-15,DEN,CHO,W 100-86,240,38,79,.481,29,51,.569,9,28,.321,15,25,.600,100,33,81,.407,21,46,.457,12,35,.343,8,14,.571,86
2020-01-15,SAS,MIA,L 100-106,240,39,89,.438,29,56,.518,10,33,.303,12,15,.800,100,41,88,.466,24,48,.500,17,40,.425,7,13,.538,106
2020-01-17,PHI,CHI,W 100-89,240,40,82,.488,31,53,.585,9,29,.310,11,11,1.000,100,35,81,.432,27,46,.587,8,35,.229,11,15,.733,89
2019-10-25,CHO,MIN,L 99-121,240,37,84,.440,25,55,.455,12,29,.414,13,26,.500,99,43,91,.473,31,53,.585,12,38,.316,23,31,.742,121
2019-10-26,ORL,ATL,L 99-103,240,35,99,.354,30,68,.441,5,31,.161,24,26,.923,99,43,84,.512,34,54,.630,9,30,.300,8,15,.533,103
2019-10-26,IND,CLE,L 99-110,240,39,87,.448,29,59,.492,10,28,.357,11,13,.846,99,40,80,.500,29,49,.592,11,31,.355,19,29,.655,110
2019-10-30,OKC,POR,L 99-102,240,33,84,.393,29,57,.509,4,27,.148,29,37,.784,99,34,86,.395,17,51,.333,17,35,.486,17,24,.708,102
2019-11-04,DET,WAS,L 99-115,240,34,82,.415,21,55,.382,13,27,.481,18,23,.783,99,43,93,.462,35,64,.547,8,29,.276,21,25,.840,115
2019-11-12,POR,SAC,L 99-107,240,34,77,.442,26,47,.553,8,30,.267,23,30,.767,99,38,86,.442,27,54,.500,11,32,.344,20,26,.769,107
2019-11-15,LAL,SAC,W 99-97,240,34,81,.420,23,44,.523,11,37,.297,20,22,.909,99,36,82,.439,20,43,.465,16,39,.410,9,9,1.000,97
2019-11-17,BOS,SAC,L 99-100,240,34,82,.415,24,52,.462,10,30,.333,21,24,.875,99,38,89,.427,24,54,.444,14,35,.400,10,12,.833,100
2019-11-18,BOS,PHO,W 99-85,240,37,89,.416,25,48,.521,12,41,.293,13,17,.765,99,33,82,.402,23,46,.500,10,36,.278,9,12,.750,85
2019-11-26,DAL,LAC,L 99-114,240,30,79,.380,19,41,.463,11,38,.289,28,35,.800,99,41,97,.423,30,64,.469,11,33,.333,21,30,.700,114
2019-12-04,MEM,CHI,L 99-106,240,37,96,.385,30,66,.455,7,30,.233,18,21,.857,99,33,77,.429,20,44,.455,13,33,.394,27,37,.730,106
2019-12-09,IND,LAC,L 99-110,240,34,97,.351,24,62,.387,10,35,.286,21,28,.750,99,40,97,.412,30,65,.462,10,32,.313,20,27,.741,110
2019-12-12,POR,DEN,L 99-114,240,41,86,.477,32,56,.571,9,30,.300,8,11,.727,99,42,88,.477,24,52,.462,18,36,.500,12,19,.632,114
2019-12-17,PHO,LAC,L 99-120,240,41,102,.402,31,67,.463,10,35,.286,7,10,.700,99,45,89,.506,31,57,.544,14,32,.438,16,22,.727,120
2019-12-18,DET,TOR,L 99-112,240,39,87,.448,33,52,.635,6,35,.171,15,22,.682,99,39,91,.429,26,56,.464,13,35,.371,21,24,.875,112
2019-12-18,MIN,NOP,L 99-107,240,36,95,.379,26,56,.464,10,39,.256,17,27,.630,99,38,86,.442,24,53,.453,14,33,.424,17,21,.810,107
2020-01-02,MIN,GSW,W 99-84,240,38,95,.400,25,52,.481,13,43,.302,10,17,.588,99,33,77,.429,30,57,.526,3,20,.150,15,21,.714,84
2020-01-05,DET,LAL,L 99-106,240,29,78,.372,18,52,.346,11,26,.423,30,35,.857,99,42,92,.457,36,72,.500,6,20,.300,16,23,.696,106
2020-01-06,WAS,BOS,W 99-94,240,39,84,.464,32,63,.508,7,21,.333,14,23,.609,99,33,95,.347,25,58,.431,8,37,.216,20,26,.769,94
2020-01-07,TOR,POR,L 99-101,240,35,96,.365,20,54,.370,15,42,.357,14,19,.737,99,38,88,.432,25,53,.472,13,35,.371,12,14,.857,101
2020-01-11,DET,CHI,L 99-108,240,36,78,.462,27,50,.540,9,28,.321,18,27,.667,99,42,83,.506,31,48,.646,11,35,.314,13,14,.929,108
2020-01-13,CLE,LAL,L 99-128,240,38,85,.447,31,60,.517,7,25,.280,16,24,.667,99,48,88,.545,37,58,.638,11,30,.367,21,28,.750,128
2020-01-15,MIN,IND,L 99-104,240,38,88,.432,27,60,.450,11,28,.393,12,16,.750,99,44,85,.518,37,62,.597,7,23,.304,9,12,.750,104
2019-10-28,CHI,NYK,L 98-105,240,36,85,.424,27,50,.540,9,35,.257,17,21,.810,98,38,91,.418,29,62,.468,9,29,.310,20,32,.625,105
2019-11-10,MIN,DEN,L 98-100 (OT),265,34,97,.351,28,52,.538,6,45,.133,24,33,.727,98,39,101,.386,28,73,.384,11,28,.393,11,17,.647,100
2019-11-11,LAC,TOR,W 98-88,240,34,92,.370,26,56,.464,8,36,.222,22,30,.733,98,34,85,.400,23,55,.418,11,30,.367,9,15,.600,88
2019-11-12,PHI,CLE,W 98-97,240,40,89,.449,32,51,.627,8,38,.211,10,13,.769,98,38,86,.442,33,65,.508,5,21,.238,16,20,.800,97
2019-11-23,MIN,PHO,L 98-100,240,38,91,.418,26,49,.531,12,42,.286,10,17,.588,98,33,96,.344,23,61,.377,10,35,.286,24,26,.923,100
2019-11-27,NYK,TOR,L 98-126,240,33,88,.375,21,47,.447,12,41,.293,20,24,.833,98,46,94,.489,25,53,.472,21,41,.512,13,17,.765,126
2019-12-01,SAS,DET,L 98-132,240,36,88,.409,29,62,.468,7,26,.269,19,22,.864,98,52,88,.591,37,57,.649,15,31,.484,13,18,.722,132
2019-12-06,CHI,GSW,L 98-100,240,39,88,.443,22,47,.468,17,41,.415,3,5,.600,98,38,71,.535,29,47,.617,9,24,.375,15,22,.682,100
2019-12-18,CHO,CLE,L 98-100,240,37,91,.407,24,54,.444,13,37,.351,11,18,.611,98,40,74,.541,33,48,.688,7,26,.269,13,17,.765,100
2019-12-20,PHI,DAL,L 98-117,240,38,90,.422,28,56,.500,10,34,.294,12,18,.667,98,43,83,.518,29,50,.580,14,33,.424,17,22,.773,117
2019-12-26,SAS,DAL,L 98-102,240,40,83,.482,32,54,.593,8,29,.276,10,15,.667,98,38,90,.422,22,50,.440,16,40,.400,10,15,.667,102
2019-12-27,ORL,PHI,W 98-97,240,37,88,.420,27,58,.466,10,30,.333,14,23,.609,98,35,87,.402,25,58,.431,10,29,.345,17,21,.810,97
2019-12-28,BRK,HOU,L 98-108,240,37,92,.402,26,53,.491,11,39,.282,13,21,.619,98,44,101,.436,31,59,.525,13,42,.310,7,16,.438,108
2019-12-28,IND,NOP,L 98-120,240,33,85,.388,27,57,.474,6,28,.214,26,29,.897,98,43,93,.462,25,51,.490,18,42,.429,16,20,.800,120
2019-12-29,OKC,TOR,W 98-97,240,34,78,.436,24,45,.533,10,33,.303,20,23,.870,98,35,83,.422,20,43,.465,15,40,.375,12,12,1.000,97
2020-01-02,CHI,UTA,L 98-102,240,37,94,.394,26,58,.448,11,36,.306,13,17,.765,98,37,76,.487,26,46,.565,11,30,.367,17,22,.773,102
2020-01-06,GSW,SAC,L 98-111,240,34,86,.395,29,60,.483,5,26,.192,25,32,.781,98,39,81,.481,24,51,.471,15,30,.500,18,23,.783,111
2020-01-08,GSW,MIL,L 98-107,240,33,87,.379,18,49,.367,15,38,.395,17,20,.850,98,35,87,.402,26,46,.565,9,41,.220,28,32,.875,107
2020-01-09,BOS,PHI,L 98-109,240,38,88,.432,24,52,.462,14,36,.389,8,8,1.000,98,43,88,.489,32,61,.525,11,27,.407,12,17,.706,109
2020-01-10,PHO,ORL,W 98-94,240,33,79,.418,24,51,.471,9,28,.321,23,26,.885,98,33,89,.371,24,56,.429,9,33,.273,19,24,.792,94
2020-01-16,NYK,PHO,L 98-121,240,37,90,.411,29,64,.453,8,26,.308,16,24,.667,98,47,92,.511,35,62,.565,12,30,.400,15,18,.833,121
2019-10-25,WAS,OKC,W 97-85,240,39,97,.402,28,56,.500,11,41,.268,8,10,.800,97,33,83,.398,28,60,.467,5,23,.217,14,22,.636,85
2019-10-29,ATL,MIA,L 97-112,240,35,83,.422,24,44,.545,11,39,.282,16,24,.667,97,33,73,.452,20,42,.476,13,31,.419,33,45,.733,112
2019-10-31,ATL,MIA,L 97-106,240,36,88,.409,29,54,.537,7,34,.206,18,26,.692,97,40,84,.476,26,47,.553,14,37,.378,12,19,.632,106
2019-10-31,SAS,LAC,L 97-103,240,36,80,.450,29,59,.492,7,21,.333,18,27,.667,97,39,91,.429,34,65,.523,5,26,.192,20,27,.741,103
2019-11-08,PHI,DEN,L 97-100,240,38,86,.442,25,60,.417,13,26,.500,8,17,.471,97,39,87,.448,30,65,.462,9,22,.409,13,17,.765,100
2019-11-12,CLE,PHI,L 97-98,240,38,86,.442,33,65,.508,5,21,.238,16,20,.800,97,40,89,.449,32,51,.627,8,38,.211,10,13,.769,98
2019-11-13,PHI,ORL,L 97-112,240,40,91,.440,32,61,.525,8,30,.267,9,13,.692,97,38,86,.442,28,54,.519,10,32,.313,26,34,.765,112
2019-11-14,CLE,MIA,L 97-108,240,36,85,.424,28,53,.528,8,32,.250,17,21,.810,97,43,79,.544,31,49,.633,12,30,.400,10,11,.909,108
2019-11-15,SAC,LAL,L 97-99,240,36,82,.439,20,43,.465,16,39,.410,9,9,1.000,97,34,81,.420,23,44,.523,11,37,.297,20,22,.909,99
2019-11-20,ORL,TOR,L 97-113,240,35,91,.385,26,59,.441,9,32,.281,18,28,.643,97,45,87,.517,36,60,.600,9,27,.333,14,19,.737,113
2019-11-22,SAC,BRK,L 97-116,240,39,86,.453,35,60,.583,4,26,.154,15,19,.789,97,41,81,.506,29,47,.617,12,34,.353,22,31,.710,116
2019-11-25,GSW,OKC,L 97-100,240,37,89,.416,28,69,.406,9,20,.450,14,16,.875,97,40,85,.471,29,53,.547,11,32,.344,9,11,.818,100
2019-11-27,PHI,SAC,W 97-91,240,36,77,.468,31,51,.608,5,26,.192,20,24,.833,97,39,95,.411,30,61,.492,9,34,.265,4,9,.444,91
2019-11-29,LAC,SAS,L 97-107,240,36,92,.391,24,59,.407,12,33,.364,13,13,1.000,97,40,93,.430,26,57,.456,14,36,.389,13,14,.929,107
2019-11-30,DEN,SAC,L 97-100 (OT),265,36,87,.414,25,55,.455,11,32,.344,14,21,.667,97,37,96,.385,29,63,.460,8,33,.242,18,21,.857,100
2019-12-03,POR,LAC,L 97-117,240,39,91,.429,32,64,.500,7,27,.259,12,15,.800,97,43,94,.457,26,60,.433,17,34,.500,14,25,.560,117
2019-12-03,NOP,DAL,L 97-118,240,38,94,.404,27,53,.509,11,41,.268,10,15,.667,97,38,88,.432,19,43,.442,19,45,.422,23,27,.852,118
2019-12-10,PHI,DEN,W 97-92,240,37,89,.416,25,53,.472,12,36,.333,11,16,.688,97,37,85,.435,30,58,.517,7,27,.259,11,12,.917,92
2019-12-26,OKC,MEM,L 97-110,240,38,92,.413,28,57,.491,10,35,.286,11,13,.846,97,46,84,.548,36,59,.610,10,25,.400,8,11,.727,110
2019-12-27,PHI,ORL,L 97-98,240,35,87,.402,25,58,.431,10,29,.345,17,21,.810,97,37,88,.420,27,58,.466,10,30,.333,14,23,.609,98
2019-12-28,BOS,TOR,L 97-113,240,31,78,.397,24,46,.522,7,32,.219,28,36,.778,97,44,84,.524,30,50,.600,14,34,.412,11,17,.647,113
2019-12-29,TOR,OKC,L 97-98,240,35,83,.422,20,43,.465,15,40,.375,12,12,1.000,97,34,78,.436,24,45,.533,10,33,.303,20,23,.870,98
Date,Tm,Opp,Result,MP,FG_T,FGA_T,FG%_T,2P_T,2PA_T,2P%_T,3P_T,3PA_T,3P%_T,FT_T,FTA_T,FT%_T,PTS_T,FG_O,FGA_O,FG%_O,2P_O,2PA_O,2P%_O,3P_O,3PA_O,3P%_O,FT_O,FTA_O,FT%_O,PTS_O
2019-12-31,PHI,IND,L 97-115,240,37,91,.407,31,62,.500,6,29,.207,17,20,.850,97,42,86,.488,31,61,.508,11,25,.440,20,26,.769,115
2019-12-31,CLE,TOR,L 97-117,240,37,87,.425,27,49,.551,10,38,.263,13,16,.813,97,40,84,.476,23,45,.511,17,39,.436,20,25,.800,117
